Step_num Done_flag Time_total Action Action_expert
1 False 0.1 [-0.22987199] [0.] 
2 False 0.2 [-0.32267922] [0.] 
3 False 0.3 [-0.31328872] [0.] 
4 False 0.4 [-0.4226328] [0.] 
5 False 0.5 [-0.32459435] [0.] 
6 False 0.6 [-0.3223262] [0.] 
7 False 0.7 [-0.31956786] [0.] 
8 False 0.8 [-0.328268] [0.] 
9 False 0.9 [-0.3295605] [0.] 
10 False 1.0 [-0.3583237] [0.] 
11 False 1.1 [-0.3366281] [0.] 
12 False 1.2 [-0.4149687] [0.] 
13 False 1.3 [-0.33844253] [0.] 
14 False 1.4 [-0.33244756] [0.] 
15 False 1.5 [-0.34838188] [0.] 
16 False 1.6 [-0.3416854] [0.] 
17 False 1.7 [-0.34887096] [0.] 
18 False 1.8 [-0.264243] [0.] 
19 False 1.9 [-0.34755084] [0.] 
20 False 2.0 [-0.371271] [0.] 
21 False 2.1 [-0.37922838] [0.] 
22 False 2.2 [-0.39871982] [0.] 
23 False 2.3 [-0.40108904] [0.] 
24 False 2.4 [-0.40790606] [0.] 
25 False 2.5 [-0.5392278] [0.] 
26 False 2.6 [-0.45326382] [0.] 
27 False 2.7 [-0.59971666] [0.] 
28 False 2.8 [-0.56029516] [0.] 
29 False 2.9 [-0.55231464] [0.] 
30 False 3.0 [-0.6722967] [0.] 
31 False 3.1 [-0.63797337] [0.] 
32 False 3.2 [-0.6304244] [0.] 
33 False 3.3 [-0.632872] [0.] 
34 True 3.4 [-0.1240411] [0.] 
