Episode_num Num_steps Reward Lap_count
1 44 33 1
2 144 89 1
3 202 47 1
4 255 42 1
5 294 28 1
6 452 147 1
7 514 51 1
8 559 34 1
9 611 41 1
10 665 43 1
11 714 38 1
12 789 64 1
13 840 40 1
14 882 31 1
15 939 46 1
16 991 41 1
17 1040 38 1
18 1164 113 1
19 1242 67 1
20 1351 98 1
21 1403 41 1
22 1451 37 1
23 1490 28 1
24 1540 39 1
25 1603 52 1
26 1649 35 1
27 1703 43 1
28 1774 60 1
29 1830 45 1
30 1868 27 1
31 1942 63 1
32 2013 60 1
33 2080 56 1
34 2164 73 1
35 2240 65 1
36 2295 44 1
37 2398 92 1
38 2456 47 1
39 2511 44 1
40 2617 95 1
41 2662 34 1
42 2717 44 1
43 2772 44 1
44 2863 80 1
45 2949 75 1
46 3108 148 1
47 3165 46 1
48 3213 37 1
49 3258 34 1
50 3310 41 1
51 3415 94 1
52 3482 56 1
53 3534 41 1
54 3580 35 1
55 3627 36 1
56 3703 65 1
57 3784 70 1
58 3836 41 1
59 3900 53 1
60 3947 36 1
61 4028 70 1
62 4111 72 1
63 4161 39 1
64 4241 69 1
65 4310 58 1
66 4381 60 1
67 4456 64 1
68 4545 78 1
69 4591 35 1
70 4709 107 1
71 4772 52 1
72 4883 100 1
73 5013 119 1
74 5116 92 1
75 5165 38 1
76 5253 77 1
77 5371 107 1
78 5417 35 1
79 5487 59 1
80 5534 36 1
81 5592 47 1
82 5699 96 1
83 5788 78 1
84 5852 53 1
85 5938 75 1
86 5993 44 1
87 6047 43 1
88 6092 34 1
89 6170 67 1
90 6292 111 1
91 6354 51 1
92 6445 80 1
93 6523 67 1
94 6592 58 1
95 6644 41 1
96 6706 51 1
97 6789 72 1
98 6849 49 1
99 6914 54 1
100 6972 47 1
101 7051 68 1
102 7166 104 1
103 7295 118 1
104 7377 71 1
105 7440 52 1
106 7526 75 1
107 7573 36 1
108 7739 155 1
109 7783 33 1
110 7889 95 1
111 7940 40 1
112 8014 63 1
113 8114 89 1
114 8161 36 1
115 8222 50 1
116 8271 38 1
117 8348 66 1
118 8429 70 1
119 8485 45 1
120 8569 73 1
121 8699 119 1
122 8753 43 1
123 8800 36 1
124 8899 88 1
125 8949 39 1
126 9016 56 1
127 9091 64 1
128 9155 53 1
129 9202 36 1
130 9281 68 1
131 9341 49 1
132 9392 40 1
133 9466 63 1
134 9534 57 1
135 9614 69 1
136 9665 40 1
137 9709 33 1
138 9763 43 1
139 9824 50 1
140 9891 56 1
141 9953 51 1
142 10001 37 1
143 10092 80 1
144 10129 26 1
145 10175 35 1
146 10226 40 1
147 10284 47 1
148 10332 37 1
149 10384 41 1
150 10429 34 1
151 10474 34 1
152 10516 31 1
153 10563 36 1
154 10612 38 1
155 10680 57 1
156 10717 26 1
157 10760 32 1
158 10803 32 1
159 10845 31 1
160 10935 79 1
161 10974 28 1
162 11021 36 1
163 11083 51 1
164 11136 42 1
165 11183 36 1
166 11221 27 1
167 11293 61 1
168 11393 89 1
169 11430 26 1
170 11473 32 1
171 11548 64 1
172 11588 29 1
173 11655 56 1
174 11692 26 1
175 11732 29 1
176 11784 41 1
177 11832 37 1
178 11872 29 1
179 11921 38 1
180 11958 26 1
181 12011 42 1
182 12053 31 1
183 12143 79 1
184 12184 30 1
185 12257 62 1
186 12318 50 1
187 12359 30 1
188 12406 36 1
189 12463 46 1
190 12506 32 1
191 12550 33 1
192 12589 28 1
193 12639 39 1
194 12681 31 1
195 12748 56 1
196 12810 51 1
197 12849 28 1
198 12901 41 1
199 12960 48 1
200 13010 39 1
201 13045 24 1
202 13082 26 1
203 13124 31 1
204 13200 65 1
205 13290 79 1
206 13348 47 1
207 13385 26 1
208 13428 32 1
209 13470 31 1
210 13509 28 1
211 13565 45 1
212 13603 27 1
213 13693 79 1
214 13732 28 1
215 13769 26 1
216 13938 158 1
217 13992 43 1
218 14030 27 1
219 14073 32 1
220 14113 29 1
221 14159 35 1
222 14201 31 1
223 14261 49 1
224 14296 24 1
225 14347 40 1
226 14405 47 1
227 14462 46 1
228 14498 25 1
229 14537 28 1
230 14574 26 1
231 14611 26 1
232 14656 34 1
233 14695 28 1
234 14738 32 1
235 14785 36 1
236 14851 55 1
237 14888 26 1
238 14927 28 1
239 14973 35 1
240 15022 38 1
241 15057 24 1
242 15101 33 1
243 15168 56 1
244 15205 26 1
245 15285 69 1
246 15324 28 1
247 15365 30 1
248 15410 34 1
249 15465 44 1
250 15514 38 1
251 15573 48 1
252 15656 72 1
253 15711 44 1
254 15755 33 1
255 15799 33 1
256 15865 55 1
257 15909 33 1
258 16006 86 1
259 16048 31 1
260 16107 48 1
261 16153 35 1
262 16218 54 1
263 16272 43 1
264 16310 27 1
265 16353 32 1
266 16394 30 1
267 16453 48 1
268 16498 34 1
269 16547 38 1
270 16594 36 1
271 16640 35 1
272 16702 51 1
273 16754 41 1
274 16794 29 1
275 16837 32 1
276 16878 30 1
